CIDADE,LATITUDE,LONGITUDE
Resplendor,-19.3194,-41.2462
Ressaquinha,-21.0642,-43.7598
Riachinho,-16.2258,-45.9888
Riacho dos Machados,-16.0091,-43.0488
Ribeirão Vermelho,-21.1879,-45.0637
Ribeirão das Neves,-19.7621,-44.0844
Rio Acima,-20.0876,-43.7878
Rio Casca,-20.2285,-42.6462
Rio Doce,-20.2412,-42.8995
Rio Espera,-20.855,-43.4721
Rio Manso,-20.2666,-44.3069
Rio Novo,-21.4649,-43.1168
Rio Paranaíba,-19.1861,-46.2455
Rio Pardo de Minas,-15.616,-42.5405
Rio Piracicaba,-19.9284,-43.1829
Rio Pomba,-21.2712,-43.1696
Rio Preto,-22.0861,-43.8293
Rio Vermelho,-18.2922,-43.0018
Rio do Prado,-16.6056,-40.5714
Ritápolis,-21.0276,-44.3204
Rochedo de Minas,-21.6284,-43.0165
Rodeiro,-21.2035,-42.8586
Romaria,-18.8838,-47.5782
Rosário da Limeira,-20.9812,-42.5112
Rubelita,-16.4053,-42.261
Rubim,-16.3775,-40.5397
Sabará,-19.884,-43.8263
Sabinópolis,-18.6653,-43.0752
Sacramento,-19.8622,-47.4508
Salto da Divisa,-16.0063,-39.9391
Santa Bárbara,-19.9604,-43.4101
Santa Bárbara do Leste,-19.9753,-42.1457
Santa Bárbara do Monte Verde,-21.9592,-43.7027
Santa Bárbara do Tugúrio,-21.2431,-43.5607
Santa Cruz de Minas,-21.1241,-44.2202
Santa Cruz de Salinas,-16.0967,-41.7418
Santa Cruz do Escalvado,-20.2372,-42.8169
Santa Efigênia de Minas,-18.8235,-42.4388
Santa Fé de Minas,-16.6859,-45.4102
Santa Helena de Minas,-16.9707,-40.6727
Santa Juliana,-19.3108,-47.5322
Santa Luzia,-19.7548,-43.8497
Santa Margarida,-20.3839,-42.2519
Santa Maria de Itabira,-19.4431,-43.1064
Santa Maria do Salto,-16.2479,-40.1512
Santa Maria do Suaçuí,-18.1896,-42.4139
Santa Rita de Caldas,-22.0292,-46.3385
Santa Rita de Ibitipoca,-21.5658,-43.9163
Santa Rita de Jacutinga,-22.1474,-44.0977
Santa Rita de Minas,-19.876,-42.1363
Santa Rita do Itueto,-19.3576,-41.3821
Santa Rita do Sapucaí,-22.2461,-45.7034
Santa Rosa da Serra,-19.5186,-45.9611
Santana da Vargem,-21.2449,-45.5005
Santana de Cataguases,-21.2893,-42.5524
Santana de Pirapama,-18.9962,-44.0409
Santana do Deserto,-21.9512,-43.1583
Santana do Garambéu,-21.5983,-44.105
Santana do Jacaré,-20.9007,-45.1285
Santana do Manhuaçu,-20.1031,-41.9278
Santana do Paraíso,-19.3661,-42.5446
Santana do Riacho,-19.1662,-43.722
Santana dos Montes,-20.7868,-43.6949
Santo Antônio do Amparo,-20.943,-44.9176
Santo Antônio do Aventureiro,-21.7606,-42.8115
Santo Antônio do Grama,-20.3185,-42.6047
Santo Antônio do Itambé,-18.4609,-43.3006
Santo Antônio do Jacinto,-16.5332,-40.1817
Santo Antônio do Monte,-20.085,-45.2947
Santo Antônio do Retiro,-15.3393,-42.6171
Santo Antônio do Rio Abaixo,-19.2374,-43.2604
Santo Hipólito,-18.2968,-44.2229
Santos Dumont,-21.4634,-43.5499
Sapucaí-Mirim,-22.7409,-45.738
Sardoá,-18.7828,-42.3629
Sarzedo,-20.0367,-44.1446
Sem-Peixe,-20.1008,-42.8483
Senador Amaral,-22.5869,-46.1763
Senador Cortes,-21.7986,-42.9424
Senador Firmino,-20.9158,-43.0904
Senador José Bento,-22.1633,-46.1792
Senador Modestino Gonçalves,-17.9465,-43.2172
Senhora de Oliveira,-20.7972,-43.3394
Senhora do Porto,-18.8909,-43.0799
Senhora dos Remédios,-21.0351,-43.5812
Sericita,-20.4748,-42.4828
Seritinga,-21.9134,-44.518
Serra Azul de Minas,-18.3602,-43.1675
Serra da Saudade,-19.4447,-45.795
Serra do Salitre,-19.1083,-46.6961
Serra dos Aimorés,-17.7872,-40.2453
Serrania,-21.5441,-46.0417
Serranos,-21.8857,-44.5125
Serranópolis de Minas,-15.8176,-42.8732
Serro,-18.5991,-43.3744
Setubinha,-17.6002,-42.1587
